Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
Signal-Android,6,1,40,689280,92756,2011-12-15 20:01:12 +0000 UTC,2022-09-13 18:41:48 +0000 UTC,Java,0,238,242,9525,No Releases,22782
xxl-job,4,1,20,38750,5167,2015-11-28 12:59:34 +0000 UTC,2022-09-13 15:04:48 +0000 UTC,Java,31,96,884,1701,No Releases,22478
gson,2,1,15,29722,9383,2015-03-19 18:21:20 +0000 UTC,2022-09-13 18:02:38 +0000 UTC,Java,4,371,305,1179,No Releases,21365
NewPipe,8,1,44,129394,8536,2015-09-03 23:39:26 +0000 UTC,2022-09-13 18:37:13 +0000 UTC,Java,121,1284,1122,5919,No Releases,20864
Telegram,6,1,56,3492629,618705,2013-10-25 14:08:10 +0000 UTC,2022-09-13 14:47:43 +0000 UTC,Java,75,20,0,0,No Releases,20698
libgdx,5,1,3468,615557,96480,2012-08-10 19:34:38 +0000 UTC,2022-09-13 17:32:04 +0000 UTC,Java,9,2444,182,3343,No Releases,20439
skywalking,5,1,4,160509,48462,2015-11-07 03:30:36 +0000 UTC,2022-09-13 09:26:54 +0000 UTC,Java,53,3749,72,4319,No Releases,20200
Sentinel,4,1,12,84953,31255,2018-04-04 06:37:33 +0000 UTC,2022-09-13 17:11:14 +0000 UTC,Java,21,435,454,1454,No Releases,19830
ExoPlayer,7,1,50,948786,185223,2014-06-13 21:19:18 +0000 UTC,2022-09-13 13:53:59 +0000 UTC,Java,20,533,630,8796,No Releases,19797
redisson,5,1,154,189595,63448,2014-01-11 14:06:25 +0000 UTC,2022-09-13 15:55:17 +0000 UTC,Java,112,302,309,3721,No Releases,19776
flink,6,1,24,2281802,584096,2014-06-07 07:00:10 +0000 UTC,2022-09-13 18:18:54 +0000 UTC,Java,0,6614,0,0,No Releases,19735
RxAndroid,2,1,3,1958,325,2014-08-19 03:46:38 +0000 UTC,2022-09-13 05:15:22 +0000 UTC,Java,18,171,2,341,No Releases,19695
