Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
JustTrustMe,2,1,1,772,128
KnowStreaming,6,1,10,71059,8110
LQRWeChat,5,1,18,25605,3193
LSPosed,5,1,49,37011,9276
Launcher3,7,1,63,80519,19026
LayoutManagerGroup,4,1,9,3898,1055
Leaf,3,1,11,2169,109
LeafPic,6,1,21,26156,3353
LeetCodeAnimation,1,1,0,12887,19
LikeButton,6,1,23,1643,229
Linkage-RecyclerView,6,1,10,4315,1141
LintCode,2,1,1,125223,31783
ListViewAnimations,6,2,10,8730,3705
LitePal,5,1,49,17449,12045
LiveEventBus,3,1,4,9381,1175
LoadSir,5,1,4,22661,440
LoadingDrawable,6,1,15,5078,246
LoganSquare,3,1,8,9489,708
Luban,2,1,10,1667,293
Luyten,2,1,15,5976,335
MPAndroidChart,8,1,91,42636,9088
MVPArms,6,1,32,8377,5011
MVVMHabit,3,1,15,11618,3576
MagicCamera,3,1,7,19730,1195
MagicIndicator,5,1,26,5323,328
MagicaSakura,8,1,25,7626,1552
Mapper,4,1,28,24775,12064
MarqueeView,5,1,5,2008,127
MarsDaemon,3,1,4,2250,474
Material-Animations,4,1,4,2511,96
MaterialDateTimePicker,6,1,127,12096,3442
MaterialDesignLibrary,4,1,6,5613,649
MaterialEditText,5,1,742,4265,931
MaterialSearchView,4,1,22,2797,198
MaterialViewPager,4,1,9,3532,456
Matisse,6,1,8,5951,1901
MifareClassicTool,10,2,102,15480,5415
MinecraftForge,6,2,31,102710,35157
MultiImageSelector,4,1,7,2421,233
Music-Player,4,1,5,1774,338
MusicBot,6,2,8,5213,1332
MyBatis-Spring-Boot,5,1,5,3977,654
MyBookshelf,6,1,58,73947,7137
Mybatis-PageHelper,5,1,26,14209,6043
Mycat-Server,4,1,78,107002,31911
NavigationTabBar,4,1,57,4051,343
NewPipe,8,1,44,129394,8536
NewbieGuide,4,1,10,3045,421
NineOldAndroids,4,1,30,7591,4069
NoHttp,4,1,45,10699,6150
NullAway,4,1,31,28294,7562
NumberProgressBar,3,1,91,1104,191
Nuwa,2,1,1,721,102
OpenHub,6,1,32,44933,3529
OpenRefine,6,1,10,549807,40684
OpenSearch,7,1,35,1303698,375036
OsmAnd,7,1,86,1008830,51579
PLDroidPlayer,4,1,8,8791,540
PRDownloader,2,1,9,4704,1189
Packages,0,1,10,102431,69682
PageIndicatorView,5,1,22,4679,250
PagerBottomTabStrip,6,1,16,4538,652
Paper,5,1,11,161149,38402
PermissionsDispatcher,1,1,34,14839,584
Phoenix,4,1,7,1484,104
PhotoPicker,4,1,16,3635,580
PhotoView,4,1,24,2426,402
PictureSelector,5,1,50,43636,10994
Play-with-Algorithms,2,1,5,116194,5956
PlayerBase,4,1,29,15355,3147
PocketHub,6,1,9,31526,9317
PojavLauncher,4,1,794,67401,27615
PowerJob,6,1,4,29539,13966
PreviewSeekBar,5,1,26,2827,673
QLExpress,4,1,12,15313,1632
QMUI_Android,5,1,35,79979,13323
QNotified,5,1,47,62612,14347
QR-Code-generator,3,1,19,9419,4078
QtScrcpy,4,1,22,13046,802
ReLinker,3,1,4,1899,453
RePlugin,5,1,31,34721,19902
RealtimeBlurView,6,1,5,1266,149
RecyclerViewItemAnimators,4,1,3,2741,810
RecyclerViewPager,4,1,9,3345,381
RichText,4,1,10,5783,1080
RippleEffect,3,1,23,1237,361
Robust,3,1,17,6096,966
RoundedImageView,8,1,107,2173,334
RxAndroid,2,1,3,1958,325
RxAndroidBle,5,1,55,31562,3695
RxEasyHttp,4,1,47,14120,4855
RxGalleryFinal,5,1,40,10786,3000
RxJava,2,1,46,323674,80409
RxJava-Android-Samples,6,1,9,5677,273
RxJava2-Android-Samples,3,1,6,4746,480
RxJava2Examples,2,2,6,4562,984
RxJavaSamples,4,1,1,1896,88
RxLifecycle,6,1,1,4615,1002
RxPermissions,4,1,10,1616,171
SDE-Interview-Questions,0,1,0,2553,0
SSM,3,1,110,852,182
Sa-Token,4,1,72,31374,13288
ScalingLayout,3,1,4,1318,197
SeeWeather,4,1,6,6069,618
Sentinel,4,1,12,84953,31255
Shadow,4,1,17,37352,10839
ShapeOfView,5,1,29,4701,115
ShineButton,3,1,16,1950,135
ShortcutBadger,5,1,3,1867,302
ShowcaseView,5,1,17,3376,1345
Side-Menu,3,1,4,1099,77
Signal-Android,6,1,40,689280,92756
Signal-Server,6,1,11,51784,3478
SimianArmy,5,1,25,20412,9210
SimplifyReader,4,1,60,40649,19632
Skeleton,3,1,4,1978,157
SlidingMenu,5,1,47,212600,1131
SlidingRootNav,4,1,22,1638,101
Small,3,1,20,29593,5037
SmartCropper,6,1,122,55889,31132
SmartRefreshLayout,6,1,27,29301,5237
SmartTabLayout,6,1,9,3630,719
SmartTubeNext,6,1,65,70214,8482
SmarterStreaming,3,1,71,18346,5091
SmoothProgressBar,4,1,26,3206,130
SoloPi,4,1,13,66005,18974
Spring-Boot-In-Action,3,1,6,7385,1373
Spring-Cloud-Platform,4,1,57,12391,3902
SpringAll,5,1,3,20047,1837
SpringBoot-Labs,4,1,1,66276,11204
SpringBoot-Learning,4,1,1,17585,1049
SpringBoot-Shiro-Vue,5,1,8,4639,686
SpringBootVulExploit,3,1,3,2200,159
SpringCloud,6,1,2,16141,1881
SpringCloud-Learning,5,1,28,8472,776
SpringCloudLearning,4,1,0,46881,781
StatusBarUtil,4,1,22,2315,392
StepView,5,1,12,2470,439
StickerCamera,4,1,37,18023,5453
StickyHeaderListView,4,1,10,3665,311
StickyListHeaders,4,1,3,3290,355
Store,6,1,17,13962,3465
StylishMusicPlayer,5,1,13,9016,990
Sunshine-Version-2,7,1,11,3016,1076
SuperTextView,3,1,141,25988,5490
SwipeBackLayout,5,1,61,2169,857
SwipeDelMenuLayout,3,1,5,2234,360
SwipeMenuListView,4,1,15,1859,301
SwipeRecyclerView,4,1,26,12783,4420
SwitchButton,4,1,82,3480,188
SystemBarTint,8,1,22,1288,418
TableView,6,1,57,7652,4120
TakePhoto,5,1,10,4101,856
Tangram-Android,5,1,23,26930,12329
TapTargetView,4,1,45,2439,412
Telegram,6,1,56,3492629,618705
TelegramBots,7,1,12,30201,5247
Terasology,6,1,25,154849,30840
TextDrawable,5,1,10,1454,98
ThreeTenABP,4,1,1,857,70
Timber,5,1,19,27106,3491
TinyPinyin,2,1,8,6758,431
Toasty,4,1,56,1216,133
Transitions-Everywhere,6,1,25,10369,4529
TwinklingRefreshLayout,4,1,36,8454,801
UETool,5,1,8,5064,125
UltimateAndroidReference,1,1,0,633,0
UltimateRecyclerView,5,1,41,18774,5234
UltraViewPager,5,1,58,3092,1366
VBlog,4,1,29,17086,362
VasSonic,4,1,21,38904,8889
VideoPlayerManager,4,1,9,5403,633
ViewPagerCards,5,1,2,1055,76
ViewPagerIndicator,6,2,29,4366,736
ViewpagerTransition,5,1,6,1314,145
VirtualAPK,4,1,17,12797,2369
VirtualApp,3,2,15,66761,9872
VirtualXposed,3,2,14,59857,7691
VitamioBundle,4,1,75,6457,2265
WeChatLuckyMoney,5,1,8,2599,155
WePush,6,1,113,36570,3438
WebCollector,5,2,45,6167,3615
XCL-Charts,7,2,49,125554,30126
XChange,5,1,26,582322,24465
XPopup,4,1,22,14159,2170
XRecyclerView,3,1,9,6052,490
XUI,5,1,54,125669,44289
XXPermissions,4,1,35,4460,1145
XhsEmoticonsKeyboard,5,1,14,7673,316
XposedInstaller,4,1,8,15540,948
YCSB,6,1,7,33273,12074
actor-platform,4,1,17,356377,42366
advanced-java,0,0,0,71356,8
aeron,7,1,100,237758,58587
afinal,4,1,81,7166,4501
agera,6,1,14,15197,5085
ahbottomnavigation,5,1,57,3419,736
airbyte,7,1,29,1169075,62894
algorithm-base,0,0,0,15295,0
algs4,4,1,43,22431,27140
allure2,6,1,11,62743,4628
alluxio,6,1,28,454818,116558
andOTP,6,1,41,39135,2290
android-Camera2Basic,5,1,12,2187,962
android-Ultra-Pull-To-Refresh,4,1,19,7992,783
android-adDialog,4,1,16,2867,495
android-advancedrecyclerview,6,2,32,30117,8689
android-async-http,5,1,45,8743,3512
android-autofittextview,5,1,40,1359,306
android-butterknife-zelezny,4,1,11,2541,425
android-classyshark,3,1,10,10293,2543
android-common,3,1,124,7024,5744
android-crop,4,1,26,2299,344
android-flip,4,1,15,5682,784
android-floating-action-button,5,1,48,1834,88
android-gif-drawable,6,1,58,8167,2076
android-gpuimage,2,2,11,10251,2766
android-hidden-api,8,1,56,1313,503
android-iconify,3,1,5,6997,210
android-interview-questions,0,1,0,953,0
android-job,6,1,32,12508,3239
