Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars,Url
hazelcast,2012-03-21 12:25:18 +0000 UTC,2022-09-13 06:39:59 +0000 UTC,Java,173,12096,1073,6569,2022-08-22T17:30:53Z,4998,https://github.com/hazelcast/hazelcast
KnowStreaming,2020-03-19 05:13:51 +0000 UTC,2022-09-13 11:33:54 +0000 UTC,Java,15,242,40,247,2022-09-05T09:08:51Z,4995,https://github.com/didi/KnowStreaming
vavr,2014-01-30 14:07:25 +0000 UTC,2022-09-11 19:49:41 +0000 UTC,Java,17,1426,68,1107,2021-07-14T13:29:37Z,4991,https://github.com/vavr-io/vavr
socket.io-client-java,2013-04-28 17:04:05 +0000 UTC,2022-09-12 02:24:18 +0000 UTC,Java,5,27,77,591,2022-07-10T22:23:40Z,4988,https://github.com/socketio/socket.io-client-java
spring-mvc-showcase,2011-06-03 15:36:55 +0000 UTC,2022-09-11 17:46:40 +0000 UTC,Java,0,8,5,38,No Releases,4988,https://github.com/spring-attic/spring-mvc-showcase
generator,2013-02-10 11:14:50 +0000 UTC,2022-09-13 09:07:11 +0000 UTC,Java,10,456,7,362,2022-03-08T21:51:22Z,4981,https://github.com/mybatis/generator
Discovery,2018-06-21 16:16:49 +0000 UTC,2022-09-13 05:01:40 +0000 UTC,Java,116,62,6,98,2022-09-05T04:15:33Z,4976,https://github.com/Nepxion/Discovery
RxJava2-Android-Samples,2016-08-27 08:21:37 +0000 UTC,2022-09-10 05:36:55 +0000 UTC,Java,0,25,12,9,No Releases,4973,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples
GmsCore,2014-04-23 19:28:47 +0000 UTC,2022-09-13 17:36:16 +0000 UTC,Java,26,146,727,791,2022-02-01T19:23:12Z,4970,https://github.com/microg/GmsCore
dialogplus,2014-12-12 09:24:44 +0000 UTC,2022-09-12 09:48:26 +0000 UTC,Java,9,36,53,101,2015-11-09T12:52:15Z,4967,https://github.com/orhanobut/dialogplus
gephi,2011-10-22 03:14:46 +0000 UTC,2022-09-13 06:20:46 +0000 UTC,Java,17,118,453,1899,2022-08-03T18:23:29Z,4958,https://github.com/gephi/gephi
RippleEffect,2014-10-14 13:32:51 +0000 UTC,2022-09-06 02:51:46 +0000 UTC,Java,0,17,50,65,No Releases,4953,https://github.com/traex/RippleEffect
android-zxingLibrary,2016-07-26 08:00:18 +0000 UTC,2022-09-12 07:59:18 +0000 UTC,Java,0,5,202,60,No Releases,4944,https://github.com/yipianfengye/android-zxingLibrary
GravitySnapHelper,2016-08-31 07:25:23 +0000 UTC,2022-09-13 02:33:05 +0000 UTC,Java,14,11,6,58,2021-09-01T21:41:10Z,4937,https://github.com/rubensousa/GravitySnapHelper
NavigationTabBar,2016-03-29 08:59:27 +0000 UTC,2022-09-11 08:41:59 +0000 UTC,Java,13,10,61,82,2016-08-13T18:39:58Z,4927,https://github.com/Devlight/NavigationTabBar
java-jwt,2014-03-07 15:06:11 +0000 UTC,2022-09-13 11:54:44 +0000 UTC,Java,36,246,1,274,2022-06-24T09:59:21Z,4907,https://github.com/auth0/java-jwt
SoloPi,2019-03-14 15:32:49 +0000 UTC,2022-09-13 12:21:13 +0000 UTC,Java,8,12,118,71,2022-05-09T15:14:56Z,4896,https://github.com/alipay/SoloPi
baritone,2018-08-01 15:34:21 +0000 UTC,2022-09-13 14:23:17 +0000 UTC,Java,61,209,639,2565,2022-03-08T22:50:04Z,4893,https://github.com/cabaletta/baritone
folding-cell-android,2016-04-01 11:38:47 +0000 UTC,2022-09-12 01:40:36 +0000 UTC,Java,0,17,7,65,No Releases,4887,https://github.com/Ramotion/folding-cell-android
google-authenticator,2014-10-08 17:54:27 +0000 UTC,2022-09-10 03:30:12 +0000 UTC,Java,0,33,164,505,No Releases,4885,https://github.com/google/google-authenticator
LayoutManagerGroup,2018-04-28 11:47:38 +0000 UTC,2022-09-10 01:55:54 +0000 UTC,Java,0,4,41,18,No Releases,4861,https://github.com/DingMouRen/LayoutManagerGroup
Transitions-Everywhere,2014-10-15 03:37:03 +0000 UTC,2022-09-05 06:17:26 +0000 UTC,Java,23,13,6,85,2018-06-16T22:25:14Z,4860,https://github.com/andkulikov/Transitions-Everywhere
smartTable,2017-11-08 01:11:14 +0000 UTC,2022-09-13 08:40:01 +0000 UTC,Java,44,0,188,105,2018-04-10T10:55:52Z,4839,https://github.com/huangyanbin/smartTable
joda-time,2011-05-16 16:49:57 +0000 UTC,2022-09-07 13:11:12 +0000 UTC,Java,38,104,23,390,2022-08-25T11:22:27Z,4819,https://github.com/JodaOrg/joda-time
lucida,2014-05-13 17:12:49 +0000 UTC,2022-09-07 22:35:45 +0000 UTC,Java,0,35,53,110,No Releases,4816,https://github.com/claritylab/lucida
EdXposed,2019-01-18 16:18:19 +0000 UTC,2022-09-13 06:22:11 +0000 UTC,Java,27,75,42,735,2021-02-08T00:23:10Z,4813,https://github.com/ElderDrivers/EdXposed
BasePopup,2016-01-15 03:31:07 +0000 UTC,2022-09-09 06:43:43 +0000 UTC,Java,15,8,15,450,2021-05-28T08:39:51Z,4813,https://github.com/razerdp/BasePopup
